Name,Tier,rare,elite,eliteonly,ilvlreq to spawn,affix type,plvlreq,maxlevel,frequency,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,variance,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
Plus to Ranger Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,35,,,,10,45,rang-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,80,,,,5,45,rang-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,40,,,,10,45,rang-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,85,,,,5,45,rang-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plus to Mage Skills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,35,,,,10,46,mage-sk,1,1,,,,,,,,Jewelry,,,,,,,,,,,
,2,1,1,0,80,,,,5,46,mage-sk,2,2,,,,,,,,Jewelry,,,,,,,,,,,
,1,1,1,0,40,,,,10,46,mage-sk,1,1,,,,,,,,Weapon,Shield,,,,,,,,,,
,2,1,1,0,85,,,,5,46,mage-sk,2,2,,,,,,,,Weapon,Shield,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,47,life,1,3,,,,,,,,Jewelry,Armor,,,,,,,,,,
,2,1,1,0,12,,,,9,47,life,4,6,,,,,,,,Jewelry,Armor,,,,,,,,,,
,3,1,1,0,27,,,,8,47,life,7,10,,,,,,,,Jewelry,Armor,,,,,,,,,,
,4,1,1,0,50,,,,7,47,life,11,15,,,,,,,,Jewelry,Armor,,,,,,,,,,
,5,1,0,0,69,,,,6,47,life,16,20,,,,,,,,Jewelry,Armor,,,,,,,,,,
,6,0,0,0,69,,,,5,47,life,21,30,,,,,,,,Jewelry,Armor,,,,,,,,,,
Mana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,48,mana,1,3,,,,,,,,Jewelry,Armor,,,,,,,,,,
,2,1,1,0,12,,,,9,48,mana,4,6,,,,,,,,Jewelry,Armor,,,,,,,,,,
,3,1,1,0,27,,,,8,48,mana,7,10,,,,,,,,Jewelry,Armor,,,,,,,,,,
,4,1,1,0,50,,,,7,48,mana,11,15,,,,,,,,Jewelry,Armor,,,,,,,,,,
,5,1,0,0,69,,,,6,48,mana,16,20,,,,,,,,Jewelry,Armor,,,,,,,,,,
,6,0,0,0,69,,,,5,48,mana,21,30,,,,,,,,Jewelry,Armor,,,,,,,,,,
Life Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,10,,,,10,49,life-reg,1,2,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,2,1,1,0,24,,,,9,49,life-reg,3,4,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,3,1,1,0,39,,,,8,49,life-reg,5,7,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,4,1,1,0,56,,,,7,49,life-reg,8,10,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,5,1,0,0,77,,,,6,49,life-reg,11,13,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,6,0,0,0,77,,,,5,49,life-reg,14,17,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
Mana Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,10,,,,10,50,mana-reg,1,2,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,2,1,1,0,24,,,,9,50,mana-reg,3,4,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,3,1,1,0,39,,,,8,50,mana-reg,5,7,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,4,1,1,0,56,,,,7,50,mana-reg,8,10,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,5,1,0,0,77,,,,6,50,mana-reg,11,13,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
,6,0,0,0,77,,,,5,50,mana-reg,14,17,,,,,,,,Jewelry,Armor,Weapon,Shield,,,,,,,,
All Resistances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,1,1,6,,,,10,51,all-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,0,1,1,13,,,,9,51,all-res,3,4,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,0,1,1,27,,,,8,51,all-res,5,6,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,0,1,1,41,,,,7,51,all-res,7,8,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,5,0,1,1,60,,,,6,51,all-res,9,10,,,,,,,,Jewelry,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,52,fire-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,52,fire-res,3,4,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,52,fire-res,5,6,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,52,fire-res,7,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,52,fire-res,9,10,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,52,fire-res,11,15,,,,,,,,Jewelry,,,,,,,,,,,
Cold Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,53,cold-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,53,cold-res,3,4,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,53,cold-res,5,6,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,53,cold-res,7,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,53,cold-res,9,10,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,53,cold-res,11,15,,,,,,,,Jewelry,,,,,,,,,,,
Poison Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,54,psn-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,54,psn-res,3,4,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,54,psn-res,5,6,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,54,psn-res,7,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,54,psn-res,9,10,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,54,psn-res,11,15,,,,,,,,Jewelry,,,,,,,,,,,
Electric Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,55,elec-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,55,elec-res,3,4,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,55,elec-res,5,6,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,55,elec-res,7,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,55,elec-res,9,10,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,55,elec-res,11,15,,,,,,,,Jewelry,,,,,,,,,,,
Heat Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,56,heat-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,56,heat-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,56,heat-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,56,heat-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,56,heat-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,56,heat-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Burn Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,57,burn-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,57,burn-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,57,burn-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,57,burn-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,57,burn-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,57,burn-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Ice Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,58,ice-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,58,ice-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,58,ice-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,58,ice-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,58,ice-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,58,ice-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Water Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,59,wat-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,59,wat-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,59,wat-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,59,wat-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,59,wat-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,59,wat-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Acid Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,60,acid-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,60,acid-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,60,acid-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,60,acid-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,60,acid-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,60,acid-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Venom Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,61,ven-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,61,ven-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,61,ven-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,61,ven-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,61,ven-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,61,ven-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Lightning Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,62,lite-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,62,lite-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,62,lite-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,62,lite-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,62,lite-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,62,lite-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Spark Resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,63,spa-res,1,2,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,2,1,1,0,9,,,,9,63,spa-res,3,5,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,3,1,1,0,19,,,,8,63,spa-res,6,8,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,4,1,1,0,34,,,,7,63,spa-res,9,12,,,,,,,,Jewelry,Shield,Chest,Boots,,,,,,,,
,5,1,0,0,49,,,,6,63,spa-res,13,16,,,,,,,,Jewelry,Shield,Chest,,,,,,,,,
,6,0,0,0,49,,,,5,63,spa-res,17,20,,,,,,,,Jewelry,,,,,,,,,,,
Freeze Avoidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,13,,,,10,64,fre-avo,5%,10%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,2,1,1,0,26,,,,9,64,fre-avo,11%,15%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,3,1,1,0,40,,,,8,64,fre-avo,16%,25%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,4,1,0,0,59,,,,7,64,fre-avo,26%,40%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,5,0,0,0,59,,,,6,64,fre-avo,41%,60%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,6,0,1,1,66,,,,5,64,fre-avo,100%,100%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
Blind Avoidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,13,,,,10,65,bli-avo,5%,10%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,2,1,1,0,26,,,,9,65,bli-avo,11%,15%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,3,1,1,0,40,,,,8,65,bli-avo,16%,25%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,4,1,0,0,59,,,,7,65,bli-avo,26%,40%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,5,0,0,0,59,,,,6,65,bli-avo,41%,60%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,6,0,1,1,66,,,,5,65,bli-avo,100%,100%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
Seared Avoidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,13,,,,10,66,sea-avo,5%,10%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,2,1,1,0,26,,,,9,66,sea-avo,11%,15%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,3,1,1,0,40,,,,8,66,sea-avo,16%,25%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,4,1,0,0,59,,,,7,66,sea-avo,26%,40%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,5,0,0,0,59,,,,6,66,sea-avo,41%,60%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,6,0,1,1,66,,,,5,66,sea-avo,100%,100%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
Poison Avoidance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,13,,,,10,67,poi-avo,5%,10%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,2,1,1,0,26,,,,9,67,poi-avo,11%,15%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,3,1,1,0,40,,,,8,67,poi-avo,16%,25%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,4,1,0,0,59,,,,7,67,poi-avo,26%,40%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,5,0,0,0,59,,,,6,67,poi-avo,41%,60%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
,6,0,1,1,66,,,,5,67,poi-avo,100%,100%,,,,,,,,Jewelry,Shield,Chest,Boots,Weapon,,,,,,,
Evasion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,5,,,,10,68,evas,1,2,,,,,,,,Boots,Jewelry,Chest,,,,,,,,,
,2,1,1,0,15,,,,9,68,evas,3,4,,,,,,,,Boots,Jewelry,Chest,,,,,,,,,
,3,1,1,0,28,,,,8,68,evas,5,6,,,,,,,,Boots,Jewelry,Chest,,,,,,,,,
,4,1,1,0,46,,,,7,68,evas,7,8,,,,,,,,Boots,Jewelry,Chest,,,,,,,,,
,5,1,0,0,68,,,,6,68,evas,9,10,,,,,,,,Boots,Jewelry,,,,,,,,,,
,6,0,0,0,68,,,,5,68,evas,11,15,,,,,,,,Boots,,,,,,,,,,,
Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,69,speed,1,2,,,,,,,,Weapon,Boots,Jewelry,,,,,,,,,
,2,1,1,0,11,,,,9,69,speed,3,4,,,,,,,,Weapon,Boots,Jewelry,,,,,,,,,
,3,1,1,0,26,,,,8,69,speed,5,6,,,,,,,,Weapon,Boots,Jewelry,,,,,,,,,
,4,1,1,0,41,,,,7,69,speed,7,8,,,,,,,,Weapon,Boots,,,,,,,,,,
,5,1,0,0,63,,,,6,69,speed,9,10,,,,,,,,Weapon,Boots,,,,,,,,,,
,6,0,0,0,63,,,,5,69,speed,11,15,,,,,,,,Weapon,,,,,,,,,,,
Magic Find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,70,mag-fin,5,10,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,1,1,0,9,,,,9,70,mag-fin,11,15,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,1,1,0,20,,,,8,70,mag-fin,16,20,,,,,,,,Armor,Jewelry,,,,,,,,,,
,4,1,1,0,36,,,,7,70,mag-fin,21,25,,,,,,,,Armor,Jewelry,,,,,,,,,,
,5,1,0,0,49,,,,6,70,mag-fin,26,30,,,,,,,,Armor,Jewelry,,,,,,,,,,
,6,0,0,0,60,,,,5,70,mag-fin,31,50,,,,,,,,,Jewelry,,,,,,,,,,
Increased Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,71,inc-qty,4,7,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,1,1,0,9,,,,9,71,inc-qty,8,11,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,1,1,0,20,,,,8,71,inc-qty,12,15,,,,,,,,Armor,Jewelry,,,,,,,,,,
,4,1,1,0,36,,,,7,71,inc-qty,16,20,,,,,,,,Armor,Jewelry,,,,,,,,,,
,5,1,0,0,49,,,,6,71,inc-qty,21,25,,,,,,,,Armor,Jewelry,,,,,,,,,,
,6,0,0,0,60,,,,5,71,inc-qty,26,35,,,,,,,,,Jewelry,,,,,,,,,,
Power Find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,0,1,10,,,,10,72,pwr-fin,4,7,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,0,0,1,25,,,,9,72,pwr-fin,8,11,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,0,0,1,40,,,,8,72,pwr-fin,12,15,,,,,,,,Armor,Jewelry,,,,,,,,,,
,4,0,0,1,55,,,,7,72,pwr-fin,16,20,,,,,,,,Armor,Jewelry,,,,,,,,,,
,5,0,0,1,70,,,,6,72,pwr-fin,21,25,,,,,,,,Armor,Jewelry,,,,,,,,,,
Faster Movement Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,8,,,,10,73,move,5,10,,,,,,,,Boots,,,,,,,,,,,
,2,1,1,0,25,,,,9,73,move,11,15,,,,,,,,Boots,,,,,,,,,,,
,3,1,1,0,39,,,,8,73,move,16,20,,,,,,,,Boots,,,,,,,,,,,
,4,1,1,0,54,,,,7,73,move,21,25,,,,,,,,Boots,,,,,,,,,,,
,5,1,0,0,76,,,,6,73,move,26,30,,,,,,,,Boots,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Find,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,0,0,1,10,,,,10,74,gol-fin,4,7,,,,,,,,Armor,Jewelry,,,,,,,,,,
,2,0,0,1,25,,,,9,74,gol-fin,8,11,,,,,,,,Armor,Jewelry,,,,,,,,,,
,3,0,0,1,40,,,,8,74,gol-fin,12,15,,,,,,,,Armor,Jewelry,,,,,,,,,,
,4,0,0,1,55,,,,7,74,gol-fin,16,20,,,,,,,,Armor,Jewelry,,,,,,,,,,
Sockets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,1,,,,10,75,sock,1,1,,,,,,,,Chest,Weapon,Shield,,,,,,,,,
,2,1,1,0,22,,,,9,75,sock,2,2,,,,,,,,Chest,Weapon,Shield,,,,,,,,,
,3,0,0,0,47,,,,8,75,sock,3,3,,,,,,,,Chest,Weapon,Shield,,,,,,,,,
,4,0,0,0,60,,,,6,75,sock,4,4,,,,,,,,Chest,Weapon,Shield,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spell Procs,,"Chance to Cast _ on struck, attack, striking",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky,,1,,,21,,,,4,114,mag%,1,4,,,,,,,,lcha,,,,,,,,,,,
Lucky,,,,,38,,,,4,114,mag%,5,7,,,,,,,,lcha,,,,,,,,,,,
Lucky,,,,,55,,,,4,114,mag%,8,12,,,,,,,,lcha,,,,,,,,,,,
Lucky,,1,,,34,,,,4,114,mag%,1,1,,,,,,,,mcha,,,,,,,,,,,
Lucky,,,,,53,,,,4,114,mag%,2,3,,,,,,,,mcha,,,,,,,,,,,
Lucky,,,,,51,,,,4,114,mag%,4,6,,,,,,,,mcha,,,,,,,,,,,
Felicitous,,1,,,5,,,,4,114,mag%,5,10,,,,,,,,ring,amul,circ,,,,,,,,,
Fortuitous,,,,,12,,,,4,114,mag%,11,15,,,,,,,,ring,amul,circ,,,,,,,,,
Emerald,,1,,,16,,,,4,114,mag%,3,7,,,,,,,,jewl,,,,,,,,,,,
Lizard's,,1,,,1,,,,4,115,mana,3,7,,,,,,,,lcha,,,,,,,,,,,
Lizard's,,1,,,7,,,,4,115,mana,8,13,,,,,,,,lcha,,,,,,,,,,,
Lizard's,,1,,,13,,,,4,115,mana,14,20,,,,,,,,lcha,,,,,,,,,,,
Snake's,,1,,,19,,,,4,115,mana,21,26,,,,,,,,lcha,,,,,,,,,,,
Snake's,,1,,,25,,,,4,115,mana,27,33,,,,,,,,lcha,,,,,,,,,,,
Snake's,,1,,,31,,,,4,115,mana,34,39,,,,,,,,lcha,,,,,,,,,,,
Serpent's,,1,,,37,,,,4,115,mana,40,46,,,,,,,,lcha,,,,,,,,,,,
Serpent's,,1,,,43,,,,4,115,mana,47,52,,,,,,,,lcha,,,,,,,,,,,
Serpent's,,1,,,49,,,,4,115,mana,53,59,,,,,,,,lcha,,,,,,,,,,,
Lizard's,,1,,,1,,,,4,115,mana,2,4,,,,,,,,mcha,,,,,,,,,,,
Lizard's,,1,,,9,,,,4,115,mana,5,7,,,,,,,,mcha,,,,,,,,,,,
Lizard's,,1,,,17,,,,4,115,mana,8,12,,,,,,,,mcha,,,,,,,,,,,
